SMILES,LOAEL_measured_median,LOAEL_predicted,Confidence
N#CN=S(=O)(C(c1ccc(nc1)C(F)(F)F)C)C,0.015292,0.04927626178013328,1
CC(C1C2CCC1c1c2cccc1NC(=O)c1cn(nc1C(F)F)C)C,0.015303,0.1148703554630647,1
Fc1ccc(cc1)[Si](c1ccc(cc1)F)(Cn1cncn1)C,0.015853,0.06269020726100052,1
CN1CCC(CC1)C1CCN(CC1)C,0.016044,0.20924981172391247,1
CCCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC,0.016106,0.05045085882240693,1
CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,0.016429,0.029508689835269705,1
N#Cc1c(Cl)cccc1Cl,0.0165685,0.1467612432610941,1
Fc1ccc(cc1)C1(Cn2cncn2)OC1c1ccccc1Cl,0.016679,0.06212007312065845,1
CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,0.017114,0.007921489521551783,1
BrC1COC(C1)(Cn1cncn1)c1ccc(cc1Cl)Cl,0.017185,0.03527360646313575,1
CC(NC(=S)[S])CNC(=S)S[Zn],0.017255,0.12687121343419863,1
CCN(C(=O)SCc1ccc(cc1)Cl)CC,0.0180385,0.08136664975240261,1
COCC(N(c1c(C)csc1C)C(=O)CCl)C,0.018129,0.15965180274953425,1
c1cc[n+]2c(c1)c1cccc[n+]1CC2,0.018481499999999998,0.2951211624935979,1
CCc1nn(c(c1Cl)C(=O)NCc1ccc(cc1)C(C)(C)C)C,0.019469,0.055000899424514235,1
CCCN(C(=O)n1cncc1)CCOc1c(Cl)cc(cc1Cl)Cl,0.019912,0.026812788273430067,1
CCOC(=O)c1cn2nc(cc2nc1C)OP(=S)(OCC)OCC,0.0200875,0.001656159626931353,1
C[n+]1ccc(cc1)c1cc[n+](cc1)C,0.020134,0.09595976950783516,1
COP(=S)(SCN1C(=O)c2c(C1=O)cccc2)OC,0.020484,0.017633826196374755,1
