SMILES,-log10(LOAEL),Dataset
COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,0.3014732021092552,mazzatorta
OC(=O)C(Oc1cccc(c1)Cl)C,0.30236968685337956,mazzatorta
CN1N(C)C(CC1c1ccccc1)c1ccccc1,0.3050966001866355,mazzatorta
CCCCc1c(C)nc(nc1OS(=O)(=O)N(C)C)NCC,0.30713546264273256,swiss
CC1OC(C)CN(C1)C1CCCCCCCCCCC1,0.3159000388714622,swiss
Clc1c(Cl)c([N+](=O)[O-])c(c(c1Cl)Cl)Cl,0.32109939155527684,swiss
ClCC[N+](C)(C)C.[Cl-],0.32378208897472166,swiss
Clc1c(Cl)c([N+](=O)[O-])c(c(c1Cl)Cl)Cl,0.3241850105488455,mazzatorta
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1F)Oc1ccc(cc1Cl)C(F)(F)F,0.3273757636235727,swiss
Clc1cc(ccc1Oc1ccc(c(c1)C(=O)[O-])[N+](=O)[O-])C(F)(F)F.[Na+],0.3286512527182731,mazzatorta
CC(C#C)(CC)O,0.32910504647978983,mazzatorta
COCN(c1c(CC)cccc1CC)C(=O)CCl,0.3306180266382941,swiss
Cc1cc(N)c(cc1C)C,0.3316606839304537,mazzatorta
CSC(=O)c1cccc2c1snn2,0.33646868040700656,swiss
CCSC(=O)N(CC(C)C)CC(C)C,0.33720440522271905,mazzatorta
N#Cc1c[nH]cc1c1cccc2c1OC(O2)(F)F,0.34169281115210776,swiss
CC1N(C(=O)NC2CCCCC2)C(=O)SC1c1ccc(cc1)Cl,0.34350890569841486,mazzatorta
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1F)Oc1ccc(cc1Cl)C(F)(F)F,0.3506456666356317,swiss
N#Cc1c[nH]cc1c1cccc2c1OC(O2)(F)F,0.35338065059536966,mazzatorta
CO/C=C(\c1ccccc1COc1cccc(n1)C(F)(F)F)/C(=O)OC,0.3555318676947022,swiss
CC(Oc1ccccn1)COc1ccc(cc1)Oc1ccccc1,0.3608722506294798,mazzatorta
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,0.363652544891169,swiss
CC(Oc1ccccn1)COc1ccc(cc1)Oc1ccccc1,0.3649286265357719,swiss
CC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)C,0.36853593732630685,mazzatorta and swiss
NCCNc1cccc2c1cccc2,0.37248052866231735,mazzatorta
Clc1c(Cl)c([N+](=O)[O-])c(c(c1Cl)Cl)Cl,0.3734030332190271,mazzatorta
O=C1N(OCC1(C)C)Cc1ccccc1Cl,0.3796661101133605,swiss
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,0.3954067884187704,swiss
CCCCNC(=O)n1c(NC(=O)OC)nc2c1cccc2,0.4021732296220636,mazzatorta
N#Cc1ccc(cc1)C/C(=N/NC(=O)Nc1ccc(cc1)OC(F)(F)F)/c1ccc(cc1)C(F)(F)F,0.40346887816639565,swiss
CO/N=C(\c1ccccc1Oc1ncnc(c1F)Oc1ccccc1Cl)/C1=NOCCO1,0.4039750104769187,swiss
CCC(n1c(=O)[nH]c(c(c1=O)Br)C)C,0.40399702961561096,swiss
COC(=O)Nc1nc2c([nH]1)cccc2,0.40639276248013095,mazzatorta
O=C(C(C)(C)C)C(n1ncnc1)Oc1ccc(cc1)Cl,0.41106754767681414,mazzatorta and swiss
O=C(Nc1ccnc(c1)Cl)Nc1ccccc1,0.4254131908061819,swiss
CC(=CC1C(C1(C)C)C(=O)OCc1coc(c1)Cc1ccccc1)C,0.43257365514742613,mazzatorta
Cc1nnc(c(=O)n1N)c1ccccc1,0.4330678000342624,swiss
CCN(C(=O)C(Oc1cccc2c1cccc2)C)CC,0.4335389375093063,mazzatorta and swiss
O=CNC(C(Cl)(Cl)Cl)N1CCN(CC1)C(C(Cl)(Cl)Cl)NC=O,0.4343292396214822,swiss
Cc1cc(C)cc(c1)C(=O)N(C(C)(C)C)NC(=O)c1ccc2c(c1C)CCCO2,0.4343882750979413,swiss
CCCCC(c1ccc(cc1)Cl)(Cn1cncn1)C#N,0.4352511081869822,swiss
COc1ccc(cc1)C(C(Cl)(Cl)Cl)c1ccc(cc1)OC,0.4417235394286475,mazzatorta
N=C(NC(=N)N)NCCc1ccccc1,0.4489771869661306,mazzatorta
OC(C(C)(C)C)C(n1ncnc1)Oc1ccc(cc1)Cl,0.44975941346983,mazzatorta
Fc1ccc(cc1)C(=O)CCCN1CCN(CC1)c1ccccn1,0.45437130300715145,mazzatorta
OC(=O)C(Cl)(Cl)C,0.4562671121127415,mazzatorta
CCC(=O)Nc1ccc(c(c1)Cl)Cl,0.4577972175659718,mazzatorta
Clc1cc(ccc1Oc1ccc(c(c1)C(=O)O)[N+](=O)[O-])C(F)(F)F,0.4613885686555222,mazzatorta
