"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"CC1(CNC(=NC1)NN=C(C=CC2=CC=C(C=C2)C(F)(F)F)C=CC3=CC=C(C=C3)C(F)(F)F)C",4.900000095367430
"CNC(ON=C(SC)C(N(C)C)=O)=O",4.900000095367430
"ClC1=CC(Cl)=C(OCC(O)=O)C=C1",5.000000000000000
"NC1=NNC=N1",5.000000000000000
"O=C(NC)OC1=C(OC(C)(C)C2)C2=CC=C1",5.000000000000000
"S=P(OCC)(OCC)OC1=NC(C(C)C)=NC(C)=C1",5.000000000000000
"O=C(N(C1=C(C)SC=C1C)C(C)COC)CCl",5.000000000000000
"O=S3OCC1C(CO3)C2(Cl)C(Cl)=C(Cl)C(Cl)1C(Cl)2Cl",5.000000000000000
"FC1=CC=C(C2(CN4C=NC=N4)C(C3=CC=CC=C3Cl)O2)C=C1",5.000000000000000
"ClC(Cl)(Cl)C1=NSC(OCC)=N1",5.000000000000000
"C[Si](C2=CC=C(C=C2)F)(C3=CC=C(F)C=C3)CN1C=NC=N1",5.000000000000000
"ClC1=CC(C(F)(F)F)=CC=C1OC2=CC=C([N+]([O-])=O)C(C(NS(C)(=O)=O)=O)=C2",5.000000000000000
"ClC1=CC=C2C(N=CC(OC3=CC=C(OC(C)C(OCCO/N=C(C)/C)=O)C=C3)=N2)=C1",5.000000000000000
"[S]C(NC(C)CNC(S[Zn])=S)=S",5.000000000000000
"[S]C(NC(C)CNC(S[Zn])=S)=S",5.000000000000000
"C1CNC(=S)NC1",5.000000000000000
"CC(C)(C)C1=CC=C(CSC2=C(Cl)C(N(C(C)(C)C)N=C2)=O)C=C1",5.000000000000000
"CS/C(C)=N/OC(N(SN(C(O/N=C(SC)\C)=O)C)C)=O",5.000000000000000
"CN(CN1C)CSC1=S",5.300000190734860
"CCN(CCCC)C1=C([N+]([O-])=O)C=C(C(F)(F)F)C=C1[N+]([O-])=O",5.400000095367430
"CC1(C)C(/C=C(Br)/Br)C1C(OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)=O",5.400000095367430
"CC(C)C1C2CCC1C3=C2C(NC(C4=CN(C)N=C4C(F)F)=O)=CC=C3",5.500000000000000
"O=C(O)C(C)OC1=C(C)C=C(Cl)C=C1",5.500000000000000
"C1CNC(=S)NC1",5.599999904632570
"FC(F)(F)/C(Cl)=C/C1C(C)(C)C1C(OCC2=C(F)C(F)=C(C)C(F)=C2F)=O",5.900000095367430
"S=P(OC1=NC(Cl)=C(Cl)C=C1Cl)(OCC)OCC",6.000000000000000
"O[Sn](C2CCCCC2)(C3CCCCC3)C1CCCCC1",6.000000000000000
"O=C(C2=C1C=CC=C2)C(SC(C#N)=C(C#N)S3)=C3C1=O",6.000000000000000
"FC1=CC=C(C2(CN4C=NC=N4)C(C3=CC=CC=C3Cl)O2)C=C1",6.000000000000000
"O=C(NCCC2=NC=C(C(F)(F)F)C=C2Cl)C1=CC=CC=C1C(F)(F)F",6.000000000000000
"O=C(NC1=CC(Cl)=C(Cl)C=C1)N(C)OC",6.250000000000000
"O=C(NC1=CC(Cl)=C(Cl)C=C1)N(C)OC",6.250000000000000
"O=C1C(/C(CCC)=N\OCC)=C(O)CC(C2CSCCC2)C1",6.400000095367430
"BrC(C3)COC(CN2C=NC=N2)3C1=C(Cl)C=C(Cl)C=C1",6.480000019073490
"CN1N=C(C(Cl)=C1C(NCC2=CC=C(C=C2)C(C)(C)C)=O)CC",6.500000000000000
"CC1CCC2(CC3CC(O2)CC=C(CC(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)C)OC1C",6.800000190734860
"O=C1N(NC3=CC=CC=C3)C(SC)=NC(C)1C2=CC=CC=C2",7.099999904632570
"S=C(SSC(N(C)C)=S)N(C)C",7.300000190734860
"NC1=C(C(OC2=CC=CC=C2)=CC=C1[N+]([O-])=O)Cl",8.000000000000000
"BrC1=CC(C#N)=CC(Br)=C1O",8.000000000000000
"C1CC1(C(CC2=CC=CC=C2Cl)(CN3C=NC=N3)O)Cl",8.000000000000000
"O=C(OC(C)1C=C)N(C2=CC(Cl)=CC(Cl)=C2)C1=O",8.000000000000000
"FC(F)(F)C(C(F)(F)F)OC(/C=C\C1C(C)(C)C1C(OC(C#N)C2=CC=C(OC3=CC=CC=C3)C=C2)=O)=O",8.100000381469730
"O=C(C(SCCO2)=C2C)NC1=CC=CC=C1",8.199999809265140
"FC(F)(F)OC(C=C2)=CC=C2NC(NC(C1=C(Cl)C=CC=C1)=O)=O",8.449999809265140
"O=C(SC/C(Cl)=C(Cl)\Cl)N(C(C)C)C(C)C",8.600000381469730
"C[N+](C=C2)=CC=C2C1=CC=[N+](C)C=C1",8.869999885559080
"O=C2C(CCCCCCCCCCCC)=C(OC(C)=O)C(C1=CC=CC=C12)=O",9.000000000000000
"O=C(N1C(C)C)N(C2=CC=CC=C2)CS/C1=N\C(C)(C)C",9.000000000000000
"O=C(CC)NC1=CC(Cl)=C(Cl)C=C1",9.000000000000000
"CON(C(OC)=O)C(C=CC=C3)=C3COC2=NN(C=C2)C1=CC=C(Cl)C=C1",9.000000000000000
"CC(C(O)=O)OC(C=C3)=CC=C3OC2=NC1=CC=C(Cl)C=C1O2",9.399999618530270
"CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C(=CC3C2CC(=O)O1)C)OC5C(C(C(C(O5)C)OC)OC)OC)C)OC6CCC(C(O6)C)N(C)C",9.500000000000000
"C1=C(SC(=N1)S(=O)(=O)CCC(=C(F)F)F)Cl",9.600000381469730
"CC(C)C(C2=CN=CN=C2)(O)C1=CC=C(OC(F)(F)F)C=C1",9.800000190734860
"CCCCC(C#N)(C2=CC=C(C=C2)Cl)CN1C=NC=N1",9.899999618530270
"CN(/C=N/C(C=CC(C)=C2)=C2C)/C=N/C(C=CC(C)=C1)=C1C",10.000000000000000
"CCNC1=NC(NC(C)C)=NC(Cl)=N1",10.000000000000000
"S=P(OC1=NC(Cl)=C(Cl)C=C1Cl)(OCC)OCC",10.000000000000000
