InChI,XLogP,ALogp2,nAtomP,ALogP,nB,AMR,nAtom,MLogP,nRotB
"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4,6-8H,1,5H2,2-3H3",3.00300002098083,0.855809986591339,8.0,0.925100028514862,13.0,29.5333995819092,27.0,2.45000004768372,4.0
"InChI=1S/C11H16N4O4/c16-8-4-14(5-9(17)12-8)2-1-3-15-6-10(18)13-11(19)7-15/h1-7H2,(H,12,16,17)(H,13,18,19)",-1.40199995040894,7.55260324478149,5.0,-2.74819993972778,20.0,62.8157997131348,35.0,1.78999996185303,4.0
"InChI=1S/C11H17F3N6O/c12-11(13,14)7-17-10(16)18-9-4-6-20(19-9)5-2-1-3-8(15)21/h4,6H,1-3,5,7H2,(H2,15,21)(H3,16,17,18,19)",1.34500002861023,0.273424416780472,7.0,-0.522899985313416,21.0,64.0654983520508,40.0,1.57000005245209,9.0
"InChI=1S/C11H23NO2/c12-10-8-6-4-2-1-3-5-7-9-11(13)14/h1-10,12H2,(H,13,14)",2.89299988746643,10.5449571609497,3.0,-3.24729990959167,13.0,43.9956016540527,37.0,2.33999991416931,10.0
"InChI=1S/C11H24N2O/c1-3-4-5-6-7-8-9-10-11-13(2)12-14/h3-11H2,1-2H3",4.48899984359741,5.07420682907104,3.0,-2.2525999546051,13.0,48.2574996948242,38.0,2.33999991416931,10.0
"InChI=1S/C11H8N2O5/c12-11(14)8(9-2-1-5-17-9)6-7-3-4-10(18-7)13(15)16/h1-6H,(H2,12,14)",2.62199997901917,0.0269616395235062,18.0,-0.164199993014336,19.0,23.6989002227783,26.0,1.89999997615814,4.0
"InChI=1S/C11H9BrO4/c1-16-8-4-2-7(3-5-8)11(15)9(12)6-10(13)14/h2-6H,1H3,(H,13,14)",2.26799988746643,0.0667705610394478,14.0,0.258399993181229,16.0,37.6587982177734,25.0,2.11999988555908,4.0
"InChI=1S/C12H10Cl2N2/c13-9-5-7(1-3-11(9)15)8-2-4-12(16)10(14)6-8/h1-6H,15-16H2",2.89199995994568,0.000125439997646026,14.0,-0.0111999996006489,17.0,19.6753997802734,26.0,2.33999991416931,1.0
"InChI=1S/C12H10ClNO/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,14H2",3.75,0.0255040898919106,14.0,-0.159700006246567,16.0,11.4568004608154,25.0,2.45000004768372,2.0
"InChI=1S/C12H10N2O/c15-14-12-8-6-11(7-9-12)13-10-4-2-1-3-5-10/h1-9,13H",4.23400020599365,0.196869686245918,15.0,-0.443699985742569,16.0,4.74289989471436,25.0,2.45000004768372,3.0
"InChI=1S/C12H10O/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9,13H",5.06300020217896,0.211876094341278,13.0,-0.460299998521805,14.0,2.56459999084473,23.0,2.67000007629395,1.0
"InChI=1S/C12H11N3/c1-7-12-8-4-2-3-5-9(8)15-10(12)6-11(13)14-7/h2-6,15H,1H3,(H2,13,14)",2.57299995422363,0.194392815232277,7.0,-0.4408999979496,17.0,22.5443992614746,27.0,2.45000004768372,0.0
"InChI=1S/C12H11N3/c1-7-6-9-8-4-2-3-5-10(8)14-12(9)15-11(7)13/h2-6H,1H3,(H3,13,14,15)",2.93600010871887,0.0194323603063822,7.0,0.139400005340576,17.0,22.807300567627,27.0,2.45000004768372,0.0
"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)",4.6729998588562,0.0553190410137177,14.0,0.235200002789497,16.0,15.2441997528076,26.0,2.45000004768372,2.0
