"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"ClC1=NC(NCC)=NC(NC(C)(C)C)=N1",7.099999904632570
"O=C1N(P(OCC)(SC(C)CC)=O)CCS1",7.210000038146970
"ClC1=NC(NCC)=NC(NC(C)(C)C)=N1",7.300000190734860
"FC(F)(F)C(S2)=NN=C2OCC(N(C(C)C)C1=CC=C(F)C=C1)=O",7.400000095367430
"CP(CCC(N)C(O)=O)(O)=O",7.500000000000000
"[N+]12=CC=CC=C1C3=[N+](C=CC=C3)CC2",7.900000095367430
"CC(CC2=CC=C(C(C)(C)C)C=C2)CN1CC(OC(C1)C)C",8.000000000000000
"O=C(OC(C)(C)C)C1=CC=C(CO/N=C/C2=C(OC3=CC=CC=C3)N(C)N=C2C)C=C1",8.000000000000000
"CC(C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O)C1CC1",8.300000190734860
"O=C(NC1=CC(Cl)=C(Cl)C=C1)N(C)OC",8.300000190734860
"CC(C(O)=O)OC(C=C3)=CC=C3OC2=NC1=CC=C(Cl)C=C1O2",8.770000457763670
"CC(C(C(C)3C)C(OC(C1=CC=CC(OC2=CC=CC=C2)=C1)C#N)=O)3C",9.000000000000000
"IC1=CC=C(N=C(OCCC)N(CCC)C2=O)C2=C1",9.000000000000000
"IC1=CC=C(N=C(OCCC)N(CCC)C2=O)C2=C1",9.000000000000000
"CC(C)(C)C1CCC2(OC(CN(CCC)CC)CO2)CC1",9.189999580383300
"FC(F)(F)C1=CC=C(N[C@@H]([C@H](C)C)C(OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)=O)C(Cl)=C1",9.250000000000000
"CC(C)(C(C(N3C=NC=N3)OC1=CC=C(C2=CC=CC=C2)C=C1)O)C",10.000000000000000
"BrC1=CC(C#N)=CC(Br)=C1O",10.000000000000000
"O=C(C(SCCO2)=C2C)NC1=CC=CC=C1",10.000000000000000
"[S]C(NC(C)CNC(S[Zn])=S)=S",10.000000000000000
"C1CC1(C(CC2=CC=CC=C2Cl)(CN3C=NC=N3)O)Cl",10.000000000000000
"O=C(C(C(C)=N2)=CN1C2=CC(OP(OCC)(OCC)=S)=N1)OCC",10.000000000000000
"S=C(NC(OC)=O)NC(C=CC=C1)=C1NC(NC(OC)=O)=S",10.000000000000000
"S=C1S[Mn+2]SC(NCCN1)=S",10.199999809265100
"O=C1C(C(C)(C)C)=NN=C(SC)N1N",11.300000190734900
"O=P(SCCC)(OCC)SCCC",11.699999809265100
"S=C(S)NC",12.000000000000000
"CCOP(OC2=NN(C=N2)C1=CC=CC=C1)(OCC)=S",12.000000000000000
"CCCOC/C(N2C=CN=C2)=N\C1=CC=C(C=C1C(F)(F)F)Cl",12.000000000000000
"O=C(OC1=CC(C)=C(SC)C(C)=C1)NC",12.500000000000000
