InChI,nAtomP,nB,nAtomLC,naAromAtom,nAromBond,ALogP,nRotB,MLogP,XLogP,LipinskiFailures,ALogp2,AMR,nAtomLAC,nHBDon,nAtom
"InChI=1S/C11H17F3N6O/c12-11(13,14)7-17-10(16)18-9-4-6-20(19-9)5-2-1-3-8(15)21/h4,6H,1-3,5,7H2,(H2,15,21)(H3,16,17,18,19)",7.0,21.0,9.0,0.0,0.0,-0.522899985313416,9.0,1.57000005245209,1.34500002861023,0.0,0.273424416780472,64.0654983520508,5.0,5.0,40.0
"InChI=1S/C11H17N3O4/c1-12-10-3-2-9(8-11(10)14(17)18)13(4-6-15)5-7-16/h2-3,8,12,15-16H,4-7H2,1H3",11.0,18.0,7.0,6.0,6.0,-1.2257000207901,7.0,1.89999997615814,1.08200001716614,0.0,1.50234043598175,38.7584991455078,2.0,3.0,35.0
"InChI=1S/C11H8N2O5/c12-11(14)8(9-2-1-5-17-9)6-7-3-4-10(18-7)13(15)16/h1-6H,(H2,12,14)",18.0,19.0,5.0,10.0,10.0,-0.164199993014336,4.0,1.89999997615814,2.62199997901917,0.0,0.0269616395235062,23.6989002227783,3.0,2.0,26.0
"InChI=1S/C11H9N3/c12-10-6-5-8-7-3-1-2-4-9(7)13-11(8)14-10/h1-6H,(H3,12,13,14)",7.0,16.0,0.0,6.0,10.0,-0.379400014877319,0.0,2.33999991416931,2.64299988746643,0.0,0.143944352865219,18.1131992340088,0.0,3.0,24.0
"InChI=1S/C12H10Cl2N2/c13-9-5-7(1-3-11(9)15)8-2-4-12(16)10(14)6-8/h1-6H,15-16H2",14.0,17.0,0.0,12.0,12.0,-0.0111999996006489,1.0,2.33999991416931,2.89199995994568,0.0,0.000125439997646026,19.6753997802734,0.0,2.0,26.0
"InChI=1S/C12H10ClNO/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,14H2",14.0,16.0,0.0,12.0,12.0,-0.159700006246567,2.0,2.45000004768372,3.75,0.0,0.0255040898919106,11.4568004608154,0.0,1.0,25.0
"InChI=1S/C12H10FN/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,14H2",13.0,15.0,0.0,12.0,12.0,-0.27020001411438,1.0,2.55999994277954,4.11100006103516,0.0,0.0730080381035805,5.09460020065308,0.0,1.0,24.0
"InChI=1S/C12H10N2O/c15-14-12-8-6-11(7-9-12)13-10-4-2-1-3-5-10/h1-9,13H",15.0,16.0,2.0,12.0,12.0,-0.443699985742569,3.0,2.45000004768372,4.23400020599365,0.0,0.196869686245918,4.74289989471436,0.0,1.0,25.0
"InChI=1S/C12H11Cl2NO/c1-4-12(2,3)15-11(16)8-5-9(13)7-10(14)6-8/h1,5-7H,2-3H3,(H,15,16)",9.0,16.0,8.0,6.0,6.0,2.76600003242493,2.0,2.33999991416931,3.50300002098083,0.0,7.65075588226318,41.2397994995117,4.0,1.0,27.0
"InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)",14.0,22.0,3.0,11.0,11.0,-0.994899988174438,5.0,1.78999996185303,0.88400000333786,0.0,0.989826023578644,33.6077995300293,0.0,3.0,32.0
"InChI=1S/C12H11N/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,13H2",13.0,14.0,0.0,12.0,12.0,-0.749899983406067,1.0,2.67000007629395,5.20699977874756,1.0,0.562350034713745,4.22209978103638,0.0,1.0,24.0
"InChI=1S/C12H11N/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,13H2",13.0,14.0,0.0,12.0,12.0,-0.749899983406067,1.0,2.67000007629395,4.99599981307983,0.0,0.562350034713745,4.22209978103638,0.0,,24.0
