SMILES,LOAEL parental as dose (mmol/kg bw per day)
O=C(C(CCCC4)=C4C3=O)N3C(C(F)=C2)=CC1=C2OCC(N1CC#C)=O,0.05333983463671705
C[Si](C2=CC=C(C=C2)F)(C3=CC=C(F)C=C3)CN1C=NC=N1,0.06214474767495324
O=C1C(C2=CC=CC=C2)=NN=C(C)N1N,0.09791674325467602
ClC1=CC(Cl)=C(OCC(O)=O)C=C1,0.09048240877201617
FC(F)(F)C(C=C3S(C)(=O)=O)=CC=C3C(C1=C(C2CC2)ON=C1)=O,0.05566064749641608
O=C(OC(C)C)NC1=CC=CC=C1,0.11159735317861624
O=C(N(CC)CC)SCC1=CC=C(Cl)C=C1,0.07758567650481493
O=C(NC(NC2=CC(Cl)=C(OC(F)(F)C(F)C(F)(F)F)C=C2Cl)=O)C1=C(F)C=CC=C1F,0.040888172545216005
N#C/N=C1SCCN/1CC2=CC=C(Cl)N=C2,0.08269915328937391
FC(F)(F)C1=CC(OC2=CC=CC(C(NC3=CC=C(F)C=C3)=O)=N2)=CC=C1,0.05580588629327444
CC(C)(C)C1CCC2(OC(CN(CCC)CC)CO2)CC1,0.07059393026664336
O=C(NC)OC1=C(C=CC=C2)C2=CC=C1,0.10456153095730501
ClC(Cl)(Cl)C1=NSC(OCC)=N1,0.08605017265406416
ClC(C=C2)=CC=C2C1=C(C#N)C(Br)=C(C(F)(F)F)N1COCC,0.05397278324272652
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,0.0528468654458272
N#CC(C(Cl)=CC=C1)=C1Cl,0.13371205237419703
FC1=CC=C(C2(CN4C=NC=N4)C(C3=CC=CC=C3Cl)O2)C=C1,0.06974853711541036
CNC(OC1=CC=CC(/N=C/N(C)C)=C1)=O,0.1053080179948381
FC(F)(F)/C(Cl)=C/C1C(C)(C)C1C(OCC2=C(F)C(F)=C(C)C(F)=C2F)=O,0.0558827740308119
FC(F)(F)C1=CC(NC(N(C)C)=O)=CC=C1,0.10335812708183185
[S]C(NCCNC(S[Mn])=S)=S,0.09046298162444301
FC(F)(F)C1=CC=C(C(S(C)(=O)=NC#N)C)C=N1,0.08872343028677288
NC#N,0.5946720241065766
CC(C)(C1=CC=C(CCOC2=NC=NC3=CC=CC=C23)C=C1)C,0.08159229518081962
O=C(O)COC1=NC(Cl)=C(Cl)C=C1Cl,0.09747707495160458
CN(C)C(S[Zn]SC(N(C)C)=S)=S,0.08174933639158691
FC(F)(F)C1=CC(Cl)=C(OC2=CC=C([N+]([O-])=O)C(OCC)=C2)C=C1,0.07188270622353558
CCOP(OC2=NN(C=N2)C1=CC=CC=C1)(OCC)=S,0.08298424097346899
N=C(N)NCCCCCCCCCCCC.OC(C)=O,0.09114900964147582
ClC1=CC=C(C2=CC(F)=CC=C2NC(C3=CN(C)N=C3C(F)F)=O)C=C1Cl,0.06373600223628945
NC(NCCCCCCCCNC(N)=N)=N,0.11824588276595163
CC(CCCCCC)C1=C(OC(/C=C\C)=O)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1,0.07519354824673423
O=C(C2=C1C=CC=C2)C(SC(C#N)=C(C#N)S3)=C3C1=O,0.09314136801405902
FC(F)(C1=CC=CC(N2CC(C(C2=O)Cl)CCl)=C1)F,0.08971049174774011
